id,text,speaker,isLoop,otherEvent,wait,isEnd,afterLine,eventAfter,delayTime,canInterrupt
dialogue_3_10,"Perfect enemy to test your abilities! Keep using your spells on me, though.",hero1,,,,,,,2,
dialogue_3_11,Press space to start the battle.,system,1,ambOut|dayAmb,space,1,,startBattle|1,2,
dialogue_4_1,Nice shooting! I thought we were done for there.,hero1,,music|calm,,,sfx|hero2Show,addAlly|hero2,1,
dialogue_4_2,"Another survivor, huh? You look like you can handle yourself.",hero1,,ambIn|dayAmb,,,,,1,
dialogue_4_3,"I was doing fine until a snake nearly got the jump on me. Took it down, but not before it gave me a nice parting gift.",hero2,,,,,,,1,
dialogue_4_4,Name’s Kinrick. The quiet one here is Pell. What should we call you?,hero1,,,,,,,1,
dialogue_4_5,Esha. Used to be a blacksmith. Now I put holes in things instead of forging them.,hero2,,,,,,,1,
dialogue_4_6,"Hah, well, that’s a hell of a career change. Awakening’s fault?",hero1,,,,,,,1,
dialogue_4_7,"Took my sense of touch. Can’t feel metal, heat—nothing. Hard to smith when you don’t know if your hands are burning off.",hero2,,,,,,,1,
dialogue_4_8,"Damn. That’s rough. So, why archery?",hero1,,,,,,,1,
dialogue_4_9,"Because my hands might be numb, but my eyes still work. If I have to fight, I'd rather do it from a distance.",hero2,,,,,,,1,
dialogue_4_10,"Fair enough. Pell keeps us alive, I take the hits, you make sure I don’t get overwhelmed. Sound good?",hero1,,,,,,,0,
dialogue_4_11,Works for me. Let’s move.,hero2,,,,,,,1,
dialogue_4_13,"Esha the archer joined your team.She can attack from a distance, making her less likely to get hurt. But she has lower health, so if she does take damage, heal her quickly!",system,,ambOut|dayAmb,,,,,1,
dialogue_4_14,Ah! More goblins incoming—get ready for battle!,hero2,,music|tense,,1,,startBattle|2,1,
dialogue_push_1,You leveled up!,system,,music|calm,,,,learnSpell|3,1,
dialogue_push_2,You learned a new spell: Push back,system,,,,,,,1,
dialogue_push_3,Press the 3 key to target an enemy and push them away.,system,,,,,,,1,
dialogue_5_1,"Finally, a chance to rest. Feels like we’ve been fighting all day.",hero1,,ambIn|nightAmb,,,,,1,
dialogue_5_2,That’s because we have.,hero2,,,,,,,1,
dialogue_5_3,"Yeah, well, I’d rather fight goblins than deal with other monsters.",hero1,,,,,,,1,
dialogue_5_4,Hah. You and me both.,hero2,,,,,,,1,
dialogue_5_5,"Since we have two teammates now, it’s important that you can switch between us.",hero1,,,,,,,1,
dialogue_5_6,"Normally, I’ll be standing closer to you. When Kinrick is directly in line with me, you won’t be able to heal him. Not that I mind.",hero2,,,,,,,0,
dialogue_5_7,"Hey! Ignore her. You can hold the skill key, then press the Up or Down arrow to switch your target.",hero1,,,,,,,1,
dialogue_5_8,"When you switch, you’ll only hear the selected character’s voice clearly—everyone else fades out.",hero1,,,,,,,1,
dialogue_5_9,And you can’t rotate while selecting a target.,hero2,,,,,,,1,
dialogue_5_10,Let’s practice! Try selecting me and healing me now.,hero1,,music|tense,healHero1,,,,4,
dialogue_5_11,Great! You can use this same method to target enemies too!,hero2,,,,,,,1,
dialogue_5_12,"Not bad, Pell. You’re getting the hang of this.",hero1,,,,,,,1,
dialogue_5_13,"Now, if we’re done training, I’d like to actually enjoy the fire for a moment.",hero2,,music|calm,,,,,1,
dialogue_5_14,"Heh, alright, alright. We’ll call it a night.",hero1,,,,,,,5,
dialogue_6_1,(Mumbling in sleep) Mmm… roast meat… crispy potatoes… grilled shrimp… (slurps),hero1,,,,,,,1,
dialogue_6_2,"(Smacks him awake) Wake up, you oaf! We’ve got company!",hero2,,music|tense,,,,,1,
dialogue_6_3,Huh? Wha—? Hey! That was my best dream in months!,hero1,,,,,,,1,
dialogue_6_4,"Forget the dream, we’re surrounded!",hero2,,,,,,,1,
dialogue_6_5,Oh! Alright—AHH! You nasty monsters better pay me back for my meal!,hero1,,,,,,,1,
dialogue_6_6,"Watch out! These are the same snakes that attacked me before! They strike first, even if we don’t get close!",hero2,,,,,,,1,
dialogue_6_7,"Especially you, Pell! If they get too close, use your new spell to push them back!",hero2,,ambOut|nightAmb,,1,,startBattle|3,1,
dialogue_stun_1,You leveled up!,system,,,,,,learnSpell|4,1,
dialogue_stun_2,You learned a new spell: Stun,system,,,,,,,1,
dialogue_stun_3,Press the 3 key to target an enemy and cast a spell that stuns them.,system,,,,,,,1,
dialogue_7_1,Whew! What a fight… I missed out on finishing my dream.,hero1,,ambIn|day2,,,,,1,
dialogue_7_2,Guess we have to keep moving—sun’s already getting higher.,hero2,,,,,,,1,
dialogue_7_3,"How about you, Pell? How're the new spells coming along?",hero1,,,,,,,1,
dialogue_7_4,"You’ve got four spells now—two for defense, and two offense.",hero2,,,,,,,1,
dialogue_7_5,"Honestly, the stun spell doesn’t seem that useful…",hero1,,,,,,,1,
dialogue_7_6,Wait… what's that sound? Is that… bats?,hero2,,,,,,,1,
dialogue_7_7,I’ve heard they can fire powerful magic orbs. Getting hit by one leaves you halfway through death's door.,hero2,,,,,,,1,
dialogue_7_8,Oh no… Did I just jinx us again? I really need to keep my mouth shut…,hero1,,,,,,,1,
dialogue_7_9,"You sure do! Pell, we’re counting on you!",hero2,,,,,,,1,
dialogue_7_10,"The bats make an annoying screech just before they attack—when you hear it, stun them!",hero2,,,,,,,1,
dialogue_7_11,"And don’t forget, you can switch between targets!",hero1,,ambOut|day2,,1,,startBattle|4,1,
dialogue_8_1,Ha! That was some fight! We actually made it through.,hero1,,ambIn|day2,,,,,1,
dialogue_8_2,"Not bad, Pell. You’re getting faster with those spells.",hero2,,,,,,,1,
dialogue_8_3,"Yeah, but don’t relax just yet… I hear something.",hero1,,,,,,,1,
dialogue_8_4,"Oh no… That’s not just one enemy—it’s all of them. Snakes, goblins… even those cursed bats.",hero2,,,,,,,1,
dialogue_8_5,"Well, no point running now. If we’re going down, we’re going down swinging!",hero1,,,,,,,1,
dialogue_8_6,Don’t be dramatic. We’ve fought them all before—we just need to stay sharp.,hero2,,,,,,,1,
dialogue_8_7,"Pell, this is the real test. Keep us standing, and we’ll handle the rest.",hero1,,,,,,,1,
dialogue_8_8,Here they come! Get ready!,hero2,,ambOut|day2,,1,,startBattle|5,1,
dialogue_9_1,Ha! Victorious yet again!,hero1,,ambIn|day2,,,,,1,
dialogue_9_2,"I feared we wouldn't succeed, yet here we are.",hero2,,,,,,,1,
dialogue_9_3,"Pell, you were astounding. We wouldn’t have made it without you.",hero1,,,,,,,1,
dialogue_9_4,"Alright, let’s catch our breath—wait… what’s that over there?",hero2,,,,,,,1,
dialogue_9_5,Looks like an entrance to something…,hero1,,,,,,,1,
dialogue_9_6,A dungeon. No doubt about it.,hero2,,,,,,,1,
dialogue_9_7,"I disagree—monsters swarming outside, strange magic in the air... There must be something inside.",hero1,,,,,,,1,
dialogue_9_8,"Something dangerous, I fear.",hero2,,,,,,,1,
dialogue_9_9,"You stand before a dark, ancient entrance, leading deep underground. What secrets—and dangers—await inside?",system,,,,,,,1,
dialogue_9_10,"Powerful foes, forgotten relics, and maybe even answers about the Awakening...",system,,,,,,,1,
dialogue_9_11,"But for now, your journey ends here.",system,,ambOut|day2,,,,,1,
dialogue_9_12,Thank you for playing! We hope you enjoyed the adventure.,system,,,1,1,,,1,
